"AlbumID","AlbumName","ReleaseDate","TrackListing","ArtistID","AlbumPrice","AlbumNotes","AlbumCatalogNumber","AlbumAvailable","AlbumCoverURL","AlbumCoverThumbnailURL"
"1","SOLID PLEASURE","15.10.1980","Bimbo / Night flanger / Reverse lion / Downtown samba / Magneto / Massage / Assistant's cry / Bostich / Rock stop / Coast to polka / Blue green / Eternal legs / Stanztrigger / Bananas to the beat ","1","16","First Release Ralph Records USA,Do It Records UK,Celluloid Fance,Vertigo Germany & Europe,Mercury Australasia.","10001","1","assets/bands/covers/solidpleasurefr.jpg","assets/bands/covers/solidpleasurefrth.jpg"
"2","JETZT UND ALLES","1981",,"21","16","Soundtrack to the movie. German Release also released in Italy.","10002","1","assets/bands/covers/jetzundallesfr.jpg","assets/bands/covers/jetzundallesfrth.JPG"
"4","CLARO QUE SI","22.09.1981","Daily disco / No more Roger / Take it all / The evening's young / She's got a gun / Ballet mécanique / Ouad el Habib / The lorry / Homer Hossa / Pinball cha cha ","1","18","2nd","10003","1","assets/bands/covers/claroqusifr.jpg","assets/bands/covers/claroqusifrth.jpg"
"5","FRANK JOHNSONS FAVORITES","1981",,"21","19","Selected by The computer at Ralph records.","10004","1","assets/bands/covers/frankjohnsonsfr.JPG","assets/bands/covers/frankjohnsonsfrth.JPG"
"6","Fourth Drawer Down","1981",,"2","19",,"10005","1","assets/bands/covers/nopicavailable.jpg","assets/bands/covers/nopicavailableth.jpg"
"7","BEST OF RALPH","1982",,"21","50","Record 2 tracks chosen by staff","0","1","assets/bands/covers/bestofralphfr.jpg","assets/bands/covers/bestofralphfrth.JPG"
"8","Sulk","1982",,"1","0","Unknown","0","0","assets/bands/covers/nopicavailable.jpg","assets/bands/covers/nopicavailableth.jpg"
"9","YOU GOTTA SAY YES TO ANOTHER EXCESS","19.04.1983","I love you / Lost again / No more words / Crash dance / Great mission / You gotta say yes to another excess / Swing / Heavy whispers [fade-out] / Smile on you / Pumping velvet / Salut Mayoumba ","1","0","3rd","0","1","assets/bands/covers/ygsytaefr.jpg","assets/bands/covers/ygsytaefrth.JPG"
"10","LIVE AT THE ROXY","1984","LIVE AT THE ROXY ","1","30","4th Live","0","0","assets/bands/covers/liveattheroxyfr.jpg","assets/bands/covers/liveattheroxyfrth.JPG"
"11","STELLA","29.01.1985","Desire / Vicious games / Oh yeah / Desert Inn / Stalakdrama / Koladi-ola / Domingo / Sometimes (Dr. Hirsch) / Let me cry / Ciel ouvert / Angel no ","1","15","5th","0","1","assets/bands/covers/stellafr.jpg","assets/bands/covers/stellafrth.JPG"
