"ArtistID","ArtistGroupName","ArtistStyle","ArtistNames","ArtistPhoto"
"1","YELLO","Electronica/Dance/Ambient","Dieter Meier Boris Blank----Past Member Carlos Peron","assets/bands/yelloband.jpg"
"2","Associates","Alternative","Billy Mackenzie","assets/bands/billymackenzie.jpg"
"4","Billy Mackenzie","Alternative","Billy Mackenzie","assets/bands/billymackenzie.jpg"
"5","Blank & Jones","Dance","Pias Jones Casper Blank","assets/bands/nopicavailable_band.jpg"
"6","Boris Blank","Electronica/Dance/Ambient","Boris Blank","assets/bands/boris.jpg"
"7","CARL COX","Dance","CARL COX","assetts/bands/nopicavailable_band.jpg"
"8","Carlos Peron","Alternative","Carlos Peron","assetts/bands/nopicavailable_band.jpg"
"9","Chico Hablas","Guitar","Chico Hablas","assetts/bands/nopicavailable_band.jpg"
"10","Cyrus",NULL,,"assetts/bands/nopicavailable_band.jpg"
"11","Dieter Meier","Electronica/Dance/Ambient","Dieter Meier","assetts/bands/nopicavailable_band.jpg"
"12","DJ Taylor & Flow",NULL,"DJ Taylor & Flow","assetts/bands/nopicavailable_band.jpg"
"13","Funky Junction vs. Yello","Dance","Funky Junction vs. Yello","assetts/bands/nopicavailable_band.jpg"
"14","Fresh Color","Punk","Dieter Meier","assetts/bands/nopicavailable_band.jpg"
"15","empire state",NULL,"empire state","assetts/bands/nopicavailable_band.jpg"
"16","Mothmen/ Yello",NULL,"Mothmen/ Yello","assetts/bands/nopicavailable_band.jpg"
"17","Nasal Boys","Punk","Dieter Meier","assetts/bands/dieter.jpg"
"18","Stina Nordenstam","Dance?","Stina Nordenstam","assetts/bands/nopicavailable_band.jpg"
"19","Sabotage – Qu'Est-Ce Que C'Est",NULL,"Sabotage – Qu'Est-Ce Que C'Est","assetts/bands/nopicavailable_band.jpg"
"20","Tube & Berger","Dance","Tube & Berger","assetts/bands/nopicavailable_band.jpg"
"21","Various Artists",NULL,"Various Artists","assetts/bands/nopicavailable_band.jpg"
"22","X-Press 2","Dance","X-Press 2","assetts/bands/nopicavailable_band.jpg"
"23","DJ Tomcraft","Dance","DJ Tomcraft","assetts/bands/nopicavailable_band.jpg"
"24","Com & Com",NULL,"Com & Com","assetts/bands/nopicavailable_band.jpg"
"25","Westbam","Dance","Westbam","assetts/bands/nopicavailable_band.jpg"
"26","Plutones","Dance","Plutones","assetts/bands/nopicavailable_band.jpg"
"27","Jam & Spoon","Dance","Jam & Spoon","assetts/bands/nopicavailable_band.jpg"
