153, YELLO       , 100 % HITS VOL. 1 RUSSIA        , BYLR                  ,, RUSSIA      ,, CD                 , ALBUM         ,              ,,1089, G:My MusicMy, G:My MusicMy,,,,,,,,,,,,                    ,                        ,                    
229, YELLO       , 100 % HITS VOL. 1 RUSSIA        , BYLR                  ,, RUSSIA      ,, CD                 , ALBUM         ,              ,,771,,,,,,,,,,,,,,                    ,                        ,                    
62324, ASSOCIATES  , 18 CARAT LOVE AFFAIR            , WARNER                ,, UK          ,, VINYL              , 12”           ,              ,,663,,,,,,,,,,,,,,                    ,                        ,                    
62400, ASSOCIATES  , 18 CARAT LOVE AFFAIR            , WARNER/WEA            ,, GERMANY     ,, VINYL              , LP            , LP           ,,714, G:My MusicMy, G:My MusicMy, G:My MusicMy, G:My MusicMy,,,,,,,,,,                    ,                        ,                    
305, YELLO       , 1980 - 1999 ANTOLOGY RUSSIA MP3 , B KAPMAHE             ,, RUSSIA      ,, CD                 , ALBUM         ,              ,,725, G:My MusicMy, G:My MusicMy, G:My MusicMy, G:My MusicMy,,,,,,,,,,                    ,                        ,                    
18, YELLO       , 1980-1985 THE NEW MIX IN ONE GO , MERCURY               ,, UK          ,, VINYL              , LP            , 2X           ,,777,,,,,,,,,,,,,,                    ,                        ,                    
456, YELLO       , 1980-1985 THE NEW MIX IN ONE GO , BARKLAY               ,, FRANCE      ,, VINYL              , LP            , 2X           ,,182,,,,,,,,,,,,,,                    ,                        ,                    
532, YELLO       , 1980-1985 THE NEW MIX IN ONE GO , MERCURY               ,, GERMAN      ,, VINYL              , LP            , 2X           ,,,,,,,,,,,,,,,,,,
608, CARLOS      , A DIRTY SONG                    , PLAY IT AGAIN SAM     ,, UK          ,, VINYL              ," 7""            ",              ,,445,,,,,,,,,,,,,,                    ,                        ,                    
1, CARLOS      , A HIT SONG                      , BBAT                  ,, ITALY       ,, CD                 , CD MAXI       , 3”           ,,815,,,,,,,,,,,,,,                    ,                        ,                    
684, YELLO       , A TRIP AROUND THE WORLD IN 1800 , MERCURY               ,, UK          ,, CD                 , MAXI          , PROMO        ,,,,,,,,,,,,,,,,,,
760, YELLO       , ADVENTURES OF FORD FAIRLANE     , ELEKTRA               ,, U.S.A       ,, CD                 ,               ,              ,,532,,,,,,,,,,,,,,                    ,                        ,                    
836, YELLO       , ALPHA CITY                      , MERCURY               ,, U.S.A       ,, CD                 ,               ,              ,,,,,,,,,,,,,,,,,,
912, YELLO       , ALPHA CITY                      , COLOURBOX             ,, GERMAN      ,, VIDEO              ,               ,              ,,,,,,,,,,,,,,,,,,
62551, YELLO       , AMNESTY PICTURE DISC            , NONE                  ,, UK          ,, VINYL              , 7”            ,              ,,167,,,,,,,,,,,,,,                    ,                        ,                    
62627, STINA       , AND SHE CLOSED HER EYES         , EAST WEST             ,, GERMANY     ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
6531, CARL COX    , AT THE END OF THE CL            ,                       ,, UK          ,, CD                 ,               ,              ,,4,,,,,,,,,,,,,,                    ,                        ,                    
988, BILLY       , BABY                            , CIRCA                 ,, UK          ,, VINYL              ," 12""           ",              ,,512,,,,,,,,,,,,,,                    ,                        ,                    
1064, YELLO       , BABY                            , MERCURY               ,, UK          ,, CASSETTE           , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
1140, BILLY       , BABY                            , CIRCA                 ,, UK          ,, VINYL              ," 7""            ",              ,,,,,,,,,,,,,,,,,,
1216, YELLO       , BABY                            , MERCURY               ,, GERMAN      ,, CASSETTE           , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
1292, YELLO       , BABY                            , MERCURY               ,, AUSTRALIA   ,, CASSETTE           , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
1368, YELLO       , BABY                            , MERCURY               ,, UK          ,, CD                 , ALBUM         ,              ,,523,,,,,,,,,,,,,,                    ,                        ,                    
1444, YELLO       , BABY                            , MERCURY               ,, GERMAN      ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
1520, YELLO       , BABY                            , MERCURY               ,, JAPAN       ,, CD                 , ALBUM         , PROMO        ,,,,,,,,,,,,,,,,,,
1596, YELLO       , BABY                            , MERCURY               ,, UK          ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
1672, YELLO       , BABY                            , POLYGRAM              ,, RUSSIA      ,, VINYL              , LP            ,              ,,,,,,,,,,,,,,,,,,
1748, YELLO       , BABY                            , MERCURY               ,, UK          ,, VINYL              , LP            ,              ,,,,,,,,,,,,,,,,,,
1824, YELLO       , BABY                            ,                       ,, UK          ,, PROMOS             , PHOTO         ,              ,,,,,,,,,,,,,,,,,,
1900, YELLO       , BABY                            , PHONOGRAM             ,, GERMAN      ,, CD                 , ALBUM         , PROMO        ,,,,,,,,,,,,,,,,,,
1976, YELLO       , BABY                            , MERCURY               ,, UK          ,, CASSETTE           , ALBUM         , PROMO        ,,,,,,,,,,,,,,,,,,
62703, YELLO       , BABY                            , MERCURY               ,, SPAIN       ,, VINYL              , LP            ,              ,,,,,,,,,,,,,,,,,,
2052, VARIOUS     , BEST OF RALPH                   , RALPH                 ,, US          ,, VINYL              , LP            ,              
2128, VARIOUS     , BIG HARD DISK                   , SMASH                 ,, U.S.A       ,, CD                 , ALBUM         ,              
2204, YELLO       , BIMBO                           , RALPH RECORDS         ,, US          ,, VINYL              , 12”           ,              
2280, YELLO       , BIMBO                           , RALPH                 ,, U.S.A       ,, VINYL              ," 7""            ",              
2431, YELLO       , BIMBO                           , TAKE IT MAG           ,, U.S.A       ,, VINYL              , 7”            , FLEXI DISC   
2507, YELLO       , BIOGRAPHY                       ,                       ,, U.S.A       ,, PROMOS             , PRESS RELEASE , PROMO        
2583, YELLO       , BLAME ON YELLO                  , PHONOGRAM             ,, HOLLAND     ,, CD                 , MAXI          , PROMO        
2659, YELLO       , BLAZING SADDLES                 , DMC                   ,, UK          ,, VINYL              ," 12""           ",              
2735, YELLO       , BLAZING SADDLES                 , PHONOGRAM             ,, UK          ,, VINYL              ," 12""           ",              
2811, YELLO       , BLAZING SADDLES                 , MERCURY               ,, GERMAN      ,, VINYL              , 7”            ,              
2887, YELLO       , BLAZING SADDLES                 , MERCURY               ,, GERMAN      ,, VINYL              ," 12""           ",              
2963, YELLO       , BLAZING SADDLES                 , PHONOGRAM             ,, UK          ,, VINYL              , 7”            ,              
3039, YELLO       , BLAZING SADDLES                 , MERCURY               ,, AUSTRALIA   ,, VINYL              ," 7""            ",              
3115, YELLO       , BLAZING SADDLES                 , PHONOGRAM             ,, UK          ,, CASSETTE           , SINGLE        ,              
3191, YELLO       , BLAZING SADDLES                 , MERCURY               ,, GERMAN      ,, CD                 , MAXI          ,              
3267, YELLO       , BLAZING SADDLES                 , MERCURY               ,, UK          ,, CD                 , MAXI          ,              
3343, YELLO       , BLAZING SADDLES                 , PHONOGRAM             ,, UK          ,, CD                 , MAXI          ,              
3419, YELLO       , BLAZING SADDLES                 , POLYGRAM              ,, UK          ,, CD                 , MAXI          , 3''          
62779, YELLO       , BLAZING SADDLES                 , MERCURY               ,, GERMANY     ,, VINYL              , 7”            , PROMO        
62855, YELLO       , BLAZING SADDLES                 , MERCURY               ,, GERMANY     ,, VINYL              , 7”            , PROMO        
3495, VARIOUS     , BODO OST                        , METRONOME             ,, GERMAN      ,, CD                 , SOUNDTRACK    ,              
3571, YELLO       , BOOTLEG                         ,                       ,, U.S.A       ,, VIDEO              ,               ,              
3647, YELLO       , BOSTICH                         , DO IT                 ,, UK          ,, VINYL              ," 12""           ",              
3723, YELLO       , BOSTICH                         , STIFF                 ,, US          ,, VINYL              ," 12""           ", PROMO        
3799, YELLO       , BOSTICH                         , WHITE LABEL           ,, US          ,, VINYL              ," 12""           ",              
3875, YELLO       , BOSTICH                         , MATRICE               ,, UK          ,, VINYL              , 12”           ,              
3951, YELLO       , BOSTICH                         , STIFF                 ,, SPAIN       ,, VINYL              ," 12""           ",              
4027, MOTHMEN/    , BOSTICH                         , DO IT                 ,, UK          ,, VINYL              ," 12""           ",              
4103, YELLO       , BOSTICH                         , URBAN                 ,, GERMAN      ,, VINYL              ," 12""           ", PROMO        
4179, YELLO       , BOSTICH                         , DO IT RECORDS         ,, UK          ,, VINYL              ," 12""           ", PROMO        
4255, YELLO       , BOSTICH                         , FFRR                  ,, US          ,, VINYL              ," 12""           ", PROMO        
4331, YELLO       , BOSTICH                         , FFRR                  ,, US          ,, VINYL              ," 12""           ",              
4407, YELLO       , BOSTICH                         , SPECIALITY CORPS      ,, US          ,, VINYL              ," 12""           ", PROMO        ,,,,,,,,,,,,,,,,,,
4483, YELLO       , BOSTICH                         , URBAN                 ,, GERMAN      ,, VINYL              ," 12""           ",              ,,,,,,,,,,,,,,,,,,
4559, YELLO       , BOSTICH                         , URBAN                 ,, GERMAN      ,, VINYL              , 12”           ,              ,,,,,,,,,,,,,,,,,,
4635, YELLO       , BOSTICH                         , VERTIGO               ,, GERMAN      ,, VINYL              ," 7""            ",              ,,,,,,,,,,,,,,,,,,
4711, YELLO       , BOSTICH                         , DO IT                 ,, UK          ,, VINYL              ," 7""            ",              ,,,,,,,,,,,,,,,,,,
4787, YELLO       , BOSTICH                         , URBAN                 ,, GERMAN      ,, CD                 , MAXI          ,              ,,,,,,,,,,,,,,,,,,
4863, YELLO       , BOSTICH                         , MOTOR                 ,, GERMAN      ,, VIDEO              , SINGLE        , PROMO        ,,,,,,,,,,,,,,,,,,
4939, YELLO       , BOSTICH                         , URBAN                 ,, GERMAN      ,, VIDEO              , SINGLE        ,              ,,,,,,,,,,,,,,,,,,
62931, YELLO       , BOSTITCH                        , STIFF                 ,, USA         ,, VINYL              , 12”           ,              ,,,,,,,,,,,,,,,,,,
63007, YELLO       , BOSTITCH                        , VERTIGO               ,, GERMANY     ,, VINYL              , 7”            ,              ,,,,,,,,,,,,,,,,,,
63083, YELLO       , BOSTITCH                        , VERTIGO               ,, GERMANY     ,, VINYL              , 7”            , PROMO        ,,   ID,     CoverPicA,     CoverPicB,     CoverPicC,     CoverPicD,     LabelPicA,     LabelPicB,     LabelPicC,     LabelPicD,      MiscPic1,      MiscPic2,      MiscPic3,      MiscPic4,      MiscPic5,      MiscPic6      ,         lyrics         ,       rating       
