ID,Format,Type,Name,Artist,Year,Subtype,Country,Label,SpineCat,CatNumber,PicFront,PicBack,PicLabela,PicLabelb,PicInsideCD,PicMisc1,PicMisc2,PicMisc3,PicMisc4,PicMisc5,PicMisc6,PicMisc7,PicMisc8,PicMisc9,PicMisc10,PicMisc11,PicMisc12
1,CD,CD-Maxi,The Race,Yello,1988,NULL,UK,Mercury,YELCD 1,870 622-2,./assets/bands/Covers/theraceuk7fr.jpeg,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
2,CD,CD-Maxi,The Race,Yello,1988,NULL,UK,Mercury,YELCD 1,870 622-2,./assets/bands/Covers/theraceukcdfr.jpeg,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
3,CD,CD-Maxi,The Race,Yello,1992,NULL,UK,Mercury,MERCD 382,MERCD382,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
4,CD,Album,100 % Hits Russia Vol 1,Yello,2000,NULL,Russia,BYLR,NULL,1010-S01,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
5,CD,Album,1980 ? 1999 Antology Russia MP3,Yello,2000,NULL,Russia,B Kapmahe,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
6,CD,CD-Maxi,A Trip Around The World In 1800 Seconds,Yello,1989,NULL,UK,Mercury,YELLO 1989,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
7,Vinyl,7inch,Amnesty Picture Disc,Yello,??,NULL,UK,NULL,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
8,CD,Album,Baby,Yello,1992,NULL,Canada,Vertigo,510 280 2,511 280 2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
9,CD,Album,Baby,Yello,1991,NULL,Canada,Polygram,NULL,519 282-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
10,CD,Album,Baby,Yello,1991,NULL,France,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
11,CD,Album,Baby,Yello,1991,NULL,Germany,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
12,CD,Album,Baby,Yello,1991,NULL,Germany,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
13,CD,Album,Baby,Yello,1991,NULL,Germany,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
14,CD,Album,Baby,Yello,1991,NULL,Germany,Phonogram,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
15,CD,Album,Baby,Yello,1991,NULL,Japan,Mercury,PHCR 1114,PHCR-1114,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
16,CD,Album,Baby,Yello,1991,NULL,Japan,Mercury,PHCR 1114,PHCR-1114,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
17,CD,Album,Baby,Yello,1994,NULL,Poland,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
18,CD,Album,Baby,Yello,1991,NULL,South Africa,Mercury,STARCD 5816,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
19,CD,Album,Baby,Yello,1993,NULL,Sweden,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
20,CD,Album,Baby,Yello,1993,NULL,Sweden,Mercury,NULL,850 130-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
21,CD,Album,Baby,Yello,1991,,UK,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
22,CD,Album,Baby,Yello,1991,NULL,UK,Mercury,NULL,848 791-2,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
23,Tape,Cass,Baby,Yello,1991,Album,Australia,Mercury,NULL,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
24,Tape,Cass,Baby,Yello,1991,Album,France,Mercury,NULL,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
25,Tape,Cass,Baby,Yello,1991,Album,Germany,Mercury,NULL,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
26,Tape,Cass,Baby,Yello,1991,Album,Netherlands,Mercury,848 791-4,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
27,Tape,Cass,Baby,Yello,1994,Album,Poland,Mercury,NULL,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
28,Tape,Cass,Baby,Yello,1991,Album,South Africa,Mercury,STARC 5816,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
29,Tape,Cass,Baby,Yello,1991,Album,UK,Mercury,NULL,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
30,Tape,Cass,Baby,Yello,1991,Album,UK,Phonogram,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
31,Tape,DCC,Baby,Yello,1993,Album,Germany,Mercury,NULL,848 791-5,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
32,Tape,DCC,Baby,Yello,1993,Album,Netherlands,Mercury,NULL,848 791-5,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
