"Tracklist short","ID"
,1
"      THE STONE ROSES I wanna be adored

      IGGY POP nazi girlfriend

      JONATHAN RICHMAN & THE MODERN LOVERS she cracked

      MARK LANEGAN shiloh town

      THE MAKE UP white belt

      CHUCK PROPHET dyin' all young

      THE VIOLENT FEMMES bl",3
"   1. ABC  -  The night you murdered love
   2. Bananarama  -  Love in the first degree
   3. Commercial  -  Maxi power
   4. Viktor Lazlo  -  Take me
   5. Gino Vannelli  -  Persona non grata
   6. Pepsi & Shirlie  -  Can't give me love
   7. Communards ",;
"   1. John Farnham - TWO STRONG HEARTS 
   2. Yazz - THE ONLY WAY IS UP 
   3. INXS - NEVER TEAR US APART 
   4. Bon Jovi - BAD MEDICINE 
   5. Sabrina - SEXY GIRL 
   6. The Escape Club - WILD, WILD, WEST 
   7. The Black Sorrows - HOLD ON TO ME 
   8. K",5
"   1. Paul Nord - Dog
   2. DJ Remy - Backstabber
   3. Royal Comsort - Comsort Royal
   4. Saints & Sinners - Pushin too hard
   5. Yello - Squeeze please (Moldt Mix)
   6. Medway - Solace
   7. Talla calls Moguai - Into another /DJ Moguai Mix)
   8. Voy",6
"   1. THE TWIST - FAT BOYS
   2. YE KE YE KE - MORY KANTE
   3. CHICO CHICO - BAMBOLEO
   4. DON'T SAY IT'S LOVE - JOHNNY HATES JAZZ
   5. ALL OF ME - SABRINA
   6. GIMME HOPE JO'ANNA - EDDY GRANT
   7. IM NIN'ALU - OFRA HAZA
   8. HEAVEN CAN WAIT - SANDR",7
"  S.F.O.T.W – THE ONLY GOOD CHRISTIAN IS A DEAD CHRISTIAN,
CABERET VOLTAIRE – PRODUCT CONTROL,
TEST DEPT. – TOTAL NERVOUS PHENOMENON,
MARC ALMOND – LOVE AMONGST THE RUINED,
PSYCHIC TV – TWISTED,
THE THE – FLESH AND BONES,
COIL – THE WHEEL,
YELLO – THE ROX",8
" Elephant Walk In Morning Glory,Mission For The Don,Your Very Last Day,The Best In Me,The World Begins To Look Her Age,The Sandman,Last Bullet,Love In Adversityinch",9
" #1 Goldrush I6:31 Goldrush II6:12 She's Got A Gun  (live at the palladium, n.y., 4 sep 1985)4:20 12inch #2 Pinball Cha Cha [=80-85 version] 3:34 Vicious Games [=80-85 version]3:51",10
" (7:20min., )",11
" (dance mixes, vs. hard",12
" (Rough Mixes)",13
" [The Yello Video + The Video Race + The Ye",14
" 01 Carlos Peron La Salle Noire - Exclusiver Remix
02 State of the Union Firewall
03 :SITD: Snuff Machinery - Remix
04 Stromkern re-aLign
05 Access Denied I shall over thee...
06 Elesde Darkness Party
07 Psyche Eternal - exklusive Live Piano
Version 08 Sa",15
" 1. Call Me - Blondie
2. Tainted Love/Where Did Our Love Go - Soft Cell
3. Enola Gay - Orchestral Manoeuvres in the Dark
4. Love Will Tear Us Apart - Joy Division
5. Blue Monday - New Order
6. Planet Earth - Duran Duran
7. Smalltown Boy - Bronski Beat
8. ",16
" A1	Lost Again (Mix 1)
B1	Lost Again (Mix 2)
B2	Lost Again (Mix 3)",17
" CD 1:

1.01 Clawfinger - Tomorrow (4:21:13)
1.02 Die Krupps - Isolation (Clawfinger mix) (3:52:17)
1.03 KMFDM - Juke Joint Jezebel (4:30:00)
1.04 Project Pitchfork - Silent Scream (5:16:12)
1.05 OOMPH! - Ice Coffin (5:18:25)
1.06 Young Gods, The - Kissin",18
" CULT HERO..inchI'M A CULT HEROinch
ASSOCIATES..inchA MATTER OF GENDERinch
PASSIONS..inchOH NO,IT'S YOUinch AND inchMIRANDAinch
PURPLE HEARTS..inchBEAT THATinch",19
" 'I Love You' single mix]",20
" Soundtrack:
1. 0:00:00 The Race - Yello (1:30)
2. 0:03:09 Hawaiian Chance - Yello (0:47)
3. 0:05:26 Nuns Medley (0:30)
4. 0:08:28 Goin' Out Of My Head - Little Anthony and The Imperials* (1:54)
5. 0:10:56 Nuns Medley - Hidden Faces (0:50)
6. 0:12:51 Blow",21
" Westbam Mixes inc Machine Mix",22
" x 2,Extended Version b/w Sweet Thunder",23
inch"blood and soil / a challence (the wanderer) / men of mercy / a memory / iona / in fear of fear / brothers / and the band played waltzing matilta / the men of the fall / the sound of retreat / fieldsinch",24
"#  1. vicious games (Hardfloor remix)
# 2. vicious games (remixed by Boris Blank & Olaf Wollschlager)
# 3. viciuos games (Vorsprung durch technik remix)",25
"#  System Of the Spear
# Weekend Transit/Baker's Barn
# Experimental Installation
# Soldiers on TV 1
# Skench
# Ultimate Correction
# Living On The Ground
# Church Of Cosmetics
# Adhessive Paste
# Breathing Amphimib Vehicle
# Iron Bridge
# Small
# Soldier",26
"# 1. DISC ONE TRACK LISTING:
# 2. SHE SELLS SANCTUARY - THE CULT
# 3. I LOVE YOU - YELLO
# 4. GO! - TONES ON TAIL
# 5. TOWER OF STRENGTH - THE MISSION U.K.
# 6. LIVING IN OBLIVION - ANYTHING BOX
# 7. I GOT YOU - SPLIT ENZ
# 8. CHANGE - TEARS FOR FEARS
# 9",27
"# 1. THE NEVERENDING STORY - REAL IM-PACT
# 2. GIVE PEACE A CHANCE (Single Mix) - INTERMISSION
# 3. GAMES PEOPLE PLAY - INNER CIRCLE
# 4. GIRLY GIRL - LUCILECTRIC
# 5. CRASH! BOOM! BANG! - ROXETTE
# 6. KISS FROM A ROSE - SEAL
# 7. MISSION OF LOVE (Radio E",28
"# Eimear Quinn:The Voice
# Blackmore´s Night:Shadow Of The Moon
# Engel Wider Willen:König Der Könige
# Carlos Peron/Peter Ehrlich:Ritter Tod Und Teufel
# Impressions Of Winter:Hi Versus
# Trinovox:Ogne Losa A Morte Arrive
# Convivium Musicum:Amor Ch´atte",29
"# On My Own
# From This Moment On
# Made In Vain
# Perfect World
# Sorrow Town
# Deep Down Together
# Tell Me
# Give Me Tomorrow
# Higher Ground
# Hush",30
"# SIDE 1 Don't Mind If I Do - Bushy
# Alles Ist Dada - Mense Reents (Electronicat Mix)

SIDE 2
# Talco Uno - Jolly Music (Tiefschwarz Mix)
# I Love You - Yello

SIDE 3
# Brazil - Xavier Cugat & His Orchestra
# Back By Dope Demand - Naab

SIDE 4
# Ligeirin",31
"(6:46min., )",32
"(7:00min., )",33
"(andrew weatherall mixes",34
"(d/'s house mix)",35
"(pits mix, )",36
"(remix, )",37
"(suite 904)",38
"(teri bristol & mark picchiott",39
"(yello belly trippin/'",40
"01  	Hope  	Tree Frog  	   	   	   	 
02 	M.A.S.I. 	Apache 	  	  	  	 
03 	Black Evita 	Yo Mira 	  	  	  	 
04 	Winx 	How's The Music 	  	  	  	 
05 	Slo Moshun 	Bells Of N.Y. 	  	  	  	 
06 	You 	Blow 	  	  	  	 
07 	Progression 	Reach Further 	  	  	  	",41
"01  	Red Seal  	Upturn  	   	   	   	 
02 	BBR Streetgang 	Disco Groove 	  	  	  	 
03 	H20 feat. Billie 	Satisfied 	  	  	  	 
04 	Dad Line 	Boom Base 	  	  	  	 
05 	The Mighty Dub Cats 	Magic Carpet Ride 	  	  	  	 
06 	Pizzaman 	Sex On The Streets 	  ",42
"01 	DJ Dero 	Batucada [Outro: cold] 	- 	126.8
02 	Kaballa 	The Drums of the Lock [BPM info: 0 -speeds to 131.6] 	- 	131.6
03 	Exposure & DJ Phillipe 	Party Claps 	- 	132.9
04 	Next IV 	Pia - Samba - No. 2 	- 	140.0
05 	Goodmen, The 	Give it Up 	- 	124.8
0",43
"01 	Essence 	The Promise (Direct Hit Digital Mix / Steve Bourasa) 	- 	135.0
02 	Tin Tin Out 	Here's Where the Story Ends (Direct Hit Digital Mix / Steve Bourasa) 	- 	132.0
03 	Tomski 	14 Hours to Save the Earth (Direct Hit Digital Mix / Paul Goodyear) 	- ",44
"01 	Hope 	Tree Frog (Hot Tracks Digital Mix / Chris Cox) 	- 	127.0
02 	M.A.S.I. 	Apache (Hot Tracks Remix / Robert Vaughan & Chad Littlepage) 	- 	130.1
02 	Outhere Brothers 	Fuk U in the Ass (Hot Tracks Digital Remix / Chris Cox & Ron Hester) 	- 	128.0
03",45
"01 	Parton, Dolly 	Peace Train (Direct Hit Digital Mix / Steve Bourasa) 	 6:24 	135.0
02 	Kristine W 	Feel What You Want '97 (Direct Hit Digital Mix / William George) 	6:18 	133.0
03 	Ascension 	Someone (Direct Hit Digital Mix / Phil B.) 	8:37 	135.0
04 	",46
"01 	Tears for Fears 	The Way You Are (12inch Mix) [Time: 7:46] 	- 	-
02 	Ultravox 	Reap the Wild Wind [Time: 3:50] 	- 	-
03 	When in Rome 	The Promise (O.N. Mix) [Time: 6:25] 	- 	-
04 	Plus One 	Nevermore (Extended Version) [Time: 6:44] 	- 	-
05 	Naked Eyes ",47
