"1","CD","CD-Maxi","The Race","Yello","1988",\N,"UK","Mercury","YELCD 1","870 622-2","./assets/bands/Covers/theraceuk7fr.jpeg","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","1","All records have unique covers,",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,"August","15","Barry",\N,\N,"fact",\N,\N,"",\N,\N,\N,"","",\N,\N,\N,\N,"gold disc","red/ pink p/s",\N,"2","The Race 13.22 [extended]/La Habanera 5.10",\N,"","","","","","","","",\N,\N,\N,\N,\N,\N
"2","CD","CD-Maxi","The Race","Yello","1988",\N,"UK","Mercury","YELCD 1","870 622-2","./assets/bands/Covers/theraceukcdfr.jpeg","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","2","All records have unique covers,",\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,"August","15","RA",\N,\N,"fact",\N,\N,"",\N,\N,\N,"0268","940","BIEM/STEMRA","UK",\N,\N,"gold disc","Yellow/ Orange/ Purple front// green/ Yellow back p/s",\N,"2","The Race 13.22 [extended]/La Habanera 5.10",\N,"2004","ebay","","","","ratho drive","yes","yes",\N,\N,\N,\N,\N,\N
"3","CD","CD-Maxi","The Race","Yello","1992",\N,"UK","Mercury","MERCD 382","MERCD382","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","3","Autographed by Dieter Meier",\N,\N,\N,\N,\N,"1",\N,"1",\N,\N,\N,"October","26","",\N,\N,"fact",\N,"Autographed","MERCD382 10206491 01 %                     MADE IN U.K. BY PDO",\N,"none","none","00268","940","BIEM/STEMRA","none","Unique",\N,\N,"yellow blue p/s",\N,"4","1: The Race (3:15); 2: The Race (Remixed by Derek May) (6:21); 3: The Race (Extended Version) (13:22); 4: Bostich (Reese Respect Mix) (2:18);",\N,"14/1/04 00:00","ebay","braincaker","24.50 USD","4 USD","ratho drive","yes","yes",\N,\N,"2586385943","149",\N,\N
"4","CD","Album","100 % Hits Russia Vol 1","Yello","2000",\N,"Russia","BYLR",\N,"1010-S01","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","4",\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"Ari",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"5","CD","Album","1980 ? 1999 Antology Russia MP3","Yello","2000",\N,"Russia","B Kapmahe",\N,\N,"./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","5",\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"Ari",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"6","CD","CD-Maxi","A Trip Around The World In 1800 Seconds","Yello","1989",\N,"UK","Mercury","YELLO 1989",\N,"./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","6",\N,\N,\N,\N,"1",\N,"1","1","1",\N,"1",\N,\N,\N,"Paul Jones",\N,\N,"fact",\N,"Promo","YELLO 1989 10088181 01 %",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"p/s",\N,"8"," ",\N,"7/12/03 00:00","web","totem records","20 GBP",\N,"glasgow","yes","yes",\N,\N,\N,\N,\N,\N
"7","Vinyl","7\"","Amnesty Picture Disc","Yello","??",\N,"UK",\N,\N,\N,"./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","7","picture taken from The Face March 1983 issue",\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"RA",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"limited Edition test pressing only 1 piece?!",\N,\N,\N,\N,\N,\N,\N,"18/10/03 00:00","Music Fair, Glasgow",\N,"20 GBP",\N,"glasgow",\N,\N,\N,\N,\N,\N,\N,\N
"8","CD","Album","Baby","Yello","1992",\N,"Canada","Vertigo","510 280 2","511 280 2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","8",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,"Paul Jones",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"9","CD","Album","Baby","Yello","1991",\N,"Canada","Polygram",\N,"519 282-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","9",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,"wonder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"10","CD","Album","Baby","Yello","1991",\N,"France","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,"wonder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
